,,,Total,Total,Total,Not a high school graduate,Not a high school graduate,Not a high school graduate,High school graduate,High school graduate,High school graduate,Some college/associate's degree,Some college/associate's degree,Some college/associate's degree,Bachelor's degree,Bachelor's degree,Bachelor's degree,Advanced degree,Advanced degree,Advanced degree
,,,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error
Asian alone or in combination,Both Sexes,2004,43856.0,6771.0,851.0,19536.0,525.0,874.0,27946.0,1292.0,953.0,29377.0,1491.0,1156.0,47711.0,2226.0,1355.0,81310.0,1237.0,3203.0
Asian alone or in combination,Both Sexes,2003,41563.0,6560.0,699.0,19548.0,564.0,1838.0,25554.0,1256.0,778.0,27083.0,1495.0,798.0,47945.0,1948.0,1246.0,73812.0,1295.0,2234.0
Asian alone or in combination,Both Sexes,2002,40323.0,6424.0,767.0,16969.0,559.0,646.0,25038.0,1221.0,759.0,27146.0,1456.0,1280.0,46218.0,1984.0,1364.0,72943.0,1202.0,2546.0
Asian alone or in combination,Male,2019,83815.0,6086.0,1977.0,34418.0,341.0,2577.0,43570.0,931.0,2127.0,46576.0,986.0,2355.0,85918.0,2011.0,2841.0,131655.0,1815.0,4990.0
Asian alone or in combination,Male,2018,80618.0,5954.0,1910.0,28661.0,309.0,1905.0,40956.0,946.0,1378.0,44559.0,1110.0,1861.0,86473.0,1939.0,2926.0,130513.0,1649.0,5155.0
Asian alone or in combination,Male,2017,77742.0,5821.0,1737.0,34659.0,300.0,2763.0,41564.0,981.0,2366.0,43886.0,1100.0,2446.0,85215.0,1806.0,3203.0,121921.0,1633.0,4073.0
Asian alone or in combination,Male,2016,74131.0,5602.0,1619.0,34904.0,289.0,3883.0,37283.0,984.0,1281.0,43483.0,1171.0,2299.0,77744.0,1604.0,2537.0,124132.0,1554.0,4528.0
Asian alone or in combination,Male,2015,70202.0,5322.0,1568.0,26205.0,315.0,1545.0,38246.0,886.0,2743.0,39357.0,1004.0,1623.0,73370.0,1671.0,2197.0,117211.0,1444.0,4240.0
Asian alone or in combination,Male,2014,65545.0,5124.0,1395.0,26738.0,294.0,1827.0,32798.0,887.0,1030.0,37109.0,998.0,1306.0,71395.0,1677.0,2417.0,112206.0,1266.0,3797.0
Asian alone or in combination,Male,2013,63189.0,5032.0,1696.0,24585.0,302.0,1546.0,36133.0,951.0,3375.0,36128.0,1060.0,2194.0,67355.0,1521.0,2669.0,113152.0,1196.0,4514.0
Asian alone or in combination,Male,2012,63269.0,4759.0,1318.0,24720.0,262.0,1124.0,32762.0,819.0,1657.0,37917.0,981.0,2293.0,68713.0,1439.0,2299.0,104757.0,1256.0,3155.0
Asian alone or in combination,Male,2011,59326.0,4489.0,1293.0,25638.0,318.0,1711.0,32392.0,828.0,1482.0,41887.0,918.0,3447.0,65569.0,1392.0,1884.0,98425.0,1032.0,3197.0
Asian alone or in combination,Male,2010,56115.0,4461.0,1005.0,23836.0,330.0,1181.0,31685.0,820.0,937.0,34074.0,935.0,1037.0,64038.0,1365.0,1875.0,96127.0,1012.0,2896.0
Asian alone or in combination,Male,2009,61575.0,4022.0,1739.0,20995.0,267.0,1074.0,32985.0,747.0,2044.0,37106.0,793.0,2201.0,62504.0,1237.0,2360.0,113267.0,976.0,5518.0
Asian alone or in combination,Male,2008,59565.0,4007.0,1483.0,23204.0,297.0,1419.0,34568.0,655.0,2680.0,37228.0,865.0,1912.0,66880.0,1228.0,2733.0,98718.0,959.0,3915.0
Asian alone or in combination,Male,2007,56990.0,3945.0,1288.0,24261.0,254.0,1202.0,33105.0,685.0,1054.0,40965.0,875.0,2650.0,60606.0,1187.0,1866.0,93566.0,942.0,3651.0
Asian alone or in combination,Male,2006,59328.0,3980.0,1815.0,22631.0,318.0,1134.0,32716.0,783.0,1177.0,37104.0,736.0,1462.0,66740.0,1191.0,3505.0,101474.0,950.0,5586.0
Asian alone or in combination,Male,2005,53761.0,3797.0,1363.0,27107.0,328.0,2502.0,30490.0,790.0,965.0,35583.0,758.0,1972.0,62247.0,1097.0,2874.0,92170.0,823.0,3884.0
Asian alone or in combination,Male,2004,52032.0,3634.0,1330.0,20799.0,252.0,1163.0,31194.0,730.0,1434.0,34237.0,736.0,2126.0,56581.0,1127.0,2467.0,91406.0,789.0,3848.0
Asian alone or in combination,Male,2003,48062.0,3522.0,1015.0,23122.0,308.0,3258.0,28514.0,635.0,1137.0,31430.0,746.0,1341.0,52179.0,1024.0,1452.0,83131.0,807.0,2948.0
Asian alone or in combination,Male,2002,48128.0,3469.0,1274.0,18101.0,312.0,933.0,29493.0,633.0,1216.0,32427.0,744.0,2350.0,54683.0,1006.0,2384.0,82134.0,772.0,3596.0
Asian alone or in combination,Female,2019,62710.0,5618.0,1921.0,27651.0,286.0,3837.0,30229.0,803.0,1807.0,35173.0,954.0,2044.0,64859.0,2117.0,3049.0,102424.0,1457.0,5174.0
Asian alone or in combination,Female,2018,57238.0,5315.0,1345.0,20784.0,259.0,1915.0,28375.0,792.0,1615.0,34996.0,1000.0,1407.0,57864.0,1963.0,1631.0,98312.0,1299.0,4135.0
Asian alone or in combination,Female,2017,53139.0,5111.0,1166.0,23640.0,302.0,2548.0,27100.0,777.0,971.0,30923.0,1049.0,1016.0,56176.0,1766.0,1695.0,91932.0,1214.0,3567.0
Asian alone or in combination,Female,2016,49273.0,4996.0,1001.0,20803.0,277.0,1327.0,26695.0,882.0,947.0,30524.0,1075.0,1314.0,57544.0,1584.0,2055.0,78963.0,1175.0,2372.0
Asian alone or in combination,Female,2015,50426.0,4734.0,1246.0,20074.0,276.0,1212.0,28752.0,765.0,1283.0,37124.0,1046.0,3843.0,54785.0,1588.0,1509.0,80694.0,1056.0,2789.0
Asian alone or in combination,Female,2014,46761.0,4681.0,1190.0,17496.0,315.0,1199.0,25652.0,815.0,865.0,27803.0,976.0,1026.0,57684.0,1617.0,2126.0,75320.0,956.0,3940.0
Asian alone or in combination,Female,2013,44026.0,4335.0,1194.0,24416.0,311.0,5432.0,24895.0,775.0,995.0,30727.0,924.0,3191.0,48470.0,1426.0,1437.0,73960.0,898.0,3001.0
Asian alone or in combination,Female,2012,44342.0,4307.0,1012.0,23277.0,280.0,5237.0,27432.0,735.0,1387.0,27683.0,1008.0,1171.0,48971.0,1425.0,1595.0,77697.0,856.0,3077.0
Asian alone or in combination,Female,2011,41759.0,4097.0,939.0,17012.0,274.0,825.0,23973.0,781.0,775.0,27441.0,878.0,926.0,48660.0,1391.0,1786.0,72373.0,772.0,3058.0
Asian alone or in combination,Female,2010,40177.0,4102.0,697.0,16895.0,290.0,722.0,25175.0,809.0,753.0,26144.0,897.0,796.0,47839.0,1348.0,1206.0,68048.0,759.0,2395.0
Asian alone or in combination,Female,2009,42848.0,3561.0,1076.0,20121.0,239.0,1270.0,25448.0,713.0,999.0,27565.0,717.0,950.0,48655.0,1241.0,2024.0,76052.0,650.0,3609.0
Asian alone or in combination,Female,2008,40518.0,3546.0,851.0,18999.0,272.0,1848.0,23665.0,644.0,837.0,27315.0,764.0,1153.0,49076.0,1174.0,1399.0,64802.0,690.0,2804.0
Asian alone or in combination,Female,2007,40002.0,3617.0,986.0,18753.0,275.0,910.0,23660.0,645.0,884.0,25597.0,755.0,947.0,48200.0,1266.0,2087.0,65098.0,673.0,2766.0
Asian alone or in combination,Female,2006,39652.0,3520.0,1172.0,17610.0,313.0,788.0,25508.0,630.0,2143.0,29116.0,759.0,2364.0,44846.0,1183.0,2356.0,67514.0,634.0,2676.0
Asian alone or in combination,Female,2005,35593.0,3333.0,697.0,17122.0,301.0,1199.0,22703.0,622.0,847.0,27007.0,745.0,1097.0,41350.0,1107.0,1129.0,60077.0,556.0,2452.0
Asian alone or in combination,Female,2004,34387.0,3137.0,962.0,18375.0,273.0,1286.0,23721.0,562.0,1117.0,24634.0,754.0,910.0,38618.0,1099.0,961.0,63553.0,448.0,5545.0
Asian alone or in combination,Female,2003,34031.0,3038.0,921.0,15233.0,255.0,896.0,22530.0,621.0,1041.0,22750.0,748.0,826.0,43252.0,924.0,2062.0,58391.0,487.0,3204.0
Asian alone or in combination,Female,2002,31157.0,2954.0,685.0,15536.0,247.0,851.0,20242.0,588.0,814.0,21615.0,711.0,831.0,37507.0,978.0,1192.0,56417.0,429.0,2743.0
