Table with row headers in column A and column headers in rows 5 through 6.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table A-3.  Mean Earnings of Workers 18 Years and Over, by Educational Attainment, Race, Hispanic Origin, and Sex:  1975 to 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Mean annual earnings [dollars].  Total number with earnings in thousands.  Standard error of the mean.  Noninstitutionalized population.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Race, sex, and earnings year",,,Total,,,Not a high school graduate,,,High school graduate,,,Some college/associate's degree,,,Bachelor's degree,,,Advanced degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Both Sexes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2002,"48,934","3,272","1,338","17,659",298,866,"29,547",578,"1,260","32,750",664,"2,608","55,198",971,"2,453","82,170",758,"3,647",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019,"63,307","5,087","1,990","27,108",244,"4,336","29,959",733,"1,917","36,864",823,"2,303","63,824","1,928","3,012","103,104","1,358","5,321",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2018,"57,945","4,892","1,396","21,264",248,"1,983","27,444",739,"1,662","36,608",859,"1,569","58,117","1,837","1,572","99,047","1,208","4,309",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2017,"54,045","4,763","1,234","23,370",285,"2,616","27,099",725,"1,023","30,923",930,"1,106","57,009","1,658","1,783","92,705","1,162","3,685",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2016,"50,220","4,683","1,054","20,875",268,"1,366","27,217",824,983,"31,258",973,"1,426","58,567","1,501","2,149","79,613","1,114","2,468",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2015,"50,544","4,424","1,195","19,791",267,"1,127","28,748",718,"1,345","34,704",953,"3,248","55,956","1,469","1,611","81,135","1,015","2,882",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2014,"47,419","4,353","1,264","17,691",297,"1,239","25,886",748,921,"28,185",888,"1,086","57,793","1,525","2,225","76,741",893,"4,182",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2013,"43,995","4,041","1,248","24,346",300,"5,607","25,129",734,"1,041","31,154",831,"3,496","48,505","1,337","1,466","73,159",836,"3,134",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2012,"44,770","4,013","1,066","23,751",270,"5,433","27,308",697,"1,449","28,077",873,"1,305","49,308","1,355","1,664","76,942",817,"3,160",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2011,"41,727","3,819",974,"17,263",265,839,"23,926",723,787,"27,328",772,960,"48,647","1,329","1,842","71,001",727,"3,119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2010,"40,595","3,832",729,"17,016",280,740,"25,246",754,793,"26,383",791,868,"48,453","1,291","1,246","67,541",715,"2,473",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2009,"43,270","3,346","1,125","19,684",232,"1,166","25,420",672,"1,032","27,574",634,997,"48,783","1,178","2,085","76,637",628,"3,704",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2008,"40,954","3,341",887,"18,395",260,"1,841","23,886",607,842,"27,528",693,"1,216","49,380","1,111","1,455","65,148",669,"2,865",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2007,"40,455","3,405","1,036","18,643",267,908,"23,785",611,889,"25,992",683,"1,016","48,748","1,197","2,196","65,206",645,"2,850",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2006,"40,089","3,315","1,233","17,855",300,806,"25,696",590,"2,269","29,415",692,"2,567","44,932","1,118","2,477","68,084",613,"2,730",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2005,"36,033","3,119",726,"17,383",291,"1,231","22,789",582,880,"27,439",662,"1,137","41,494","1,059","1,145","60,934",524,"2,581",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2004,"34,748","2,929","1,020","18,780",262,"1,327","23,802",516,"1,183","25,280",684,969,"38,488","1,040",989,"63,894",426,"5,818",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2003,"34,315","2,857",963,"14,614",247,758,"22,876",580,"1,096","22,703",682,880,"43,655",885,"2,143","58,489",461,"3,283",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2002,"31,328","2,814",704,"15,595",237,873,"20,094",559,831,"21,912",661,871,"37,766",939,"1,232","55,851",415,"2,755",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic Origin (of any race),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Both Sexes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019,"41,353","29,534",424,"29,080","6,043",647,"34,876","9,335",485,"39,084","7,876",742,"56,698","4,408","1,212","86,723","1,870","3,501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2018,"40,613","28,535",514,"28,024","6,288",593,"35,105","9,172",764,"37,847","7,523",797,"59,364","3,910","1,986","87,619","1,641","4,009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2017,"38,816","27,827",404,"27,291","6,237",598,"34,472","8,807",714,"37,370","7,587",763,"54,190","3,767","1,016","83,067","1,428","2,846",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2016,"38,276","26,936",466,"29,264","6,260",931,"34,751","8,477",919,"35,288","7,404",607,"53,283","3,421","1,258","79,831","1,373","3,054",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2015,"37,083","26,263",448,"25,697","6,630",667,"31,647","8,240",618,"35,780","6,887",702,"58,152","3,096","1,872","82,499","1,409","3,671",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2014,"33,944","25,254",359,"23,747","6,819",406,"30,329","7,869",553,"33,822","6,541",759,"52,143","2,852","1,275","73,952","1,171","2,905",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2013,"32,368","24,393",370,"22,431","6,704",330,"28,415","7,313",439,"32,153","6,524",627,"50,673","2,759","1,866","74,926","1,090","3,516",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2012,"31,596","23,811",324,"21,087","6,545",290,"28,097","7,462",495,"30,694","6,042",509,"50,592","2,707","1,459","77,985","1,054","3,196",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2011,"30,739","23,027",296,"20,953","6,583",291,"26,681","7,176",388,"31,423","5,773",476,"47,873","2,528","1,122","78,606",966,"3,881",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2010,"29,971","22,326",253,"20,625","6,469",404,"26,314","6,981",323,"30,826","5,551",423,"47,753","2,390","1,118","71,403",935,"2,264",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2009,"29,565","21,551",320,"19,816","6,667",328,"25,998","6,753",402,"31,004","5,036",684,"49,017","2,256","1,415","74,675",837,"3,520",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2008,"30,291","21,853",331,"21,310","6,972",469,"27,020","6,702",332,"31,644","5,149",622,"48,081","2,225","1,605","77,630",802,"3,815",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2007,"29,910","21,561",292,"21,303","6,888",401,"27,604","6,682",492,"31,040","5,000",496,"44,696","2,114",916,"73,111",874,"3,168",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2006,"29,155","21,209",331,"20,581","7,134",401,"27,508","6,495",667,"31,380","4,863",633,"45,371","2,038","1,026","70,432",678,"3,385",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2005,"27,760","20,025",269,"19,294","6,995",228,"25,659","6,080",420,"29,836","4,467",485,"45,933","1,775","1,185","70,916",705,"3,870",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2004,"27,263","19,343",270,"19,025","6,935",245,"25,823","5,741",490,"29,260","4,369",451,"45,166","1,669","1,408","69,839",629,"3,581",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2003,"25,810","18,786",287,"18,349","6,767",260,"23,472","5,517",336,"28,494","4,235",716,"43,676","1,663","1,632","62,794",603,"3,093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2002,"25,824","18,409",352,"18,981","6,748",500,"24,163","5,499",481,"27,757","4,024",676,"40,949","1,568","1,640","67,679",569,"4,744",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2001,"24,786","17,575",327,"18,334","6,533",495,"22,866","5,265",443,"27,523","3,842",600,"40,586","1,416","1,570","62,194",517,"4,311",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2000,"23,855","17,161",348,"17,156","6,428",441,"22,009","5,145",340,"25,276","3,737",459,"44,661","1,395","2,676","63,908",455,"5,138",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1999,"21,809","16,275",303,"15,991","6,021",475,"20,443","4,907",318,"24,207","3,662",544,"35,704","1,194","1,560","55,097",491,"4,266",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1998,"22,117","14,372",508,"15,832","5,281",752,"20,978","4,219",759,"23,091","3,289",925,"35,014","1,156","1,650","62,583",425,"7,812",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1997,"20,766","13,972",421,"15,069","5,238",600,"19,558","4,082",605,"22,001","3,075",546,"33,465","1,140","1,685","58,571",437,"6,897",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1996,"19,439","13,365",458,"13,287","5,062",263,"18,528","3,783",444,"22,209","3,096","1,185","32,955","1,027","2,746","49,873",398,"7,497",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1995,"18,262","12,434",428,"13,068","4,784",305,"18,333","3,594","1,070","19,923","2,856",904,"30,602",866,"1,678","45,612",334,"3,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1994,"18,568","12,035",478,"13,733","4,686",944,"17,323","3,444",401,"21,041","2,723",693,"29,165",844,"1,337","51,898",337,"6,534",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1993,"17,102","11,644",344,"11,852","4,425",263,"16,591","3,367",419,"19,043","2,728",548,"30,359",799,"3,355","45,034",325,"4,169",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1992,"16,501","11,350",266,"11,674","4,426",289,"16,438","3,349",446,"18,769","2,515",553,"27,944",767,"1,365","40,741",293,"3,318",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1991,"16,300","10,006",270,"11,335","3,906",262,"16,142","3,045",391,"19,075","2,080",580,"26,623",665,"1,422","39,609",311,"3,664",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1990,"15,943","9,729",222,"10,368","3,929",210,"15,417","3,282",297,"19,206","1,534",540,"25,703",601,"1,208","38,075",382,"2,477",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1989,"15,714","9,570",234,"11,500","3,985",222,"14,901","3,188",296,"18,707","1,513",608,"28,157",535,"1,519","39,273",349,"2,861",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1988,"15,007","9,226",245,"11,045","3,824",240,"14,667","2,953",315,"18,101","1,511",716,"23,745",596,"1,134","33,843",340,"3,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1987,"14,695","8,817",250,"10,961","3,457",272,"13,958","2,982",342,"16,899","1,400",524,"23,105",644,"1,139","34,413",335,"3,055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1986,"13,558","8,393",205,"9,896","3,379",237,"13,389","2,835",300,"16,523","1,411",584,"22,707",471,"1,248","28,316",295,"1,822",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1985,"13,120","7,840",195,"9,956","3,223",257,"13,044","2,661",297,"15,318","1,226",513,"20,878",458,"1,104","28,357",273,"1,843",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1984,"12,583","7,349",228,"9,671","3,129",293,"12,858","2,457",343,"14,359","1,116",622,"19,924",381,"1,226","26,327",265,"2,222",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1983,"11,901","6,222",(NA),"9,473","2,674",(NA),"12,077","2,030",(NA),"13,371",976,(NA),"17,972",320,(NA),"24,352",222,(NA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1982,"11,307","5,914",221,"8,498","2,583",283,"11,539","1,967",317,"13,108",873,546,"18,186",303,"1,463","28,167",186,"2,784",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1981,"10,872","5,930",194,"8,645","2,648",255,"11,046","1,966",304,"12,971",834,516,"16,114",320,"1,174","24,082",161,"2,557",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1980,"10,062","5,723",197,"8,119","2,649",284,"10,182","1,824",309,"11,891",808,558,"15,676",283,"1,267","21,910",157,"2,623",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1979,"9,248","5,545",175,"7,683","2,533",272,"9,338","1,812",272,"10,181",768,458,"14,940",240,"1,315","18,273",190,"1,780",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1978,"8,460","4,898",169,"7,138","2,345",305,"8,512","1,554",258,"9,575",661,446,"13,985",213,"1,195","17,333",125,"1,903",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,"7,761","4,752",130,"6,547","2,306",205,"8,079","1,461",226,"8,172",656,333,"12,572",210,864,"16,660",118,"1,753",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1976,"7,081","4,303",128,"5,984","2,107",199,"7,580","1,309",215,"7,252",592,333,"11,242",177,887,"14,000",118,"1,667",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1975,"6,567","4,078",124,"5,462","2,028",198,"6,759","1,293",183,"7,154",474,351,"10,573",173,796,"15,756",111,"1,994",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019,"45,995","16,414",670,"33,770","3,828",949,"39,349","5,637",694,"45,400","3,973","1,279","66,080","2,101","2,174","96,873",873,"6,690",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2018,"44,851","16,016",703,"32,348","4,122",873,"40,028","5,594","1,091","43,825","3,716","1,141","64,478","1,892","2,485","110,367",689,"7,405",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2017,"43,300","15,759",550,"31,968","4,104",870,"38,865","5,328",848,"43,481","3,834","1,112","62,469","1,845","1,668","95,960",646,"4,629",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2016,"44,237","15,189",740,"33,701","4,124","1,240","41,541","5,136","1,473","42,172","3,652","1,032","62,670","1,643","2,021","98,834",633,"5,580",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2015,"41,556","14,962",637,"29,719","4,327",937,"36,549","4,982",921,"40,672","3,426",919,"69,600","1,570","3,109","95,226",655,"5,492",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2014,"38,152","14,478",509,"27,032","4,478",433,"34,347","4,686",715,"40,192","3,331","1,293","59,791","1,439","1,792","92,887",542,"5,575",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2013,"35,990","13,980",556,"25,151","4,475",414,"32,070","4,366",557,"37,245","3,222","1,007","59,368","1,360","3,510","89,624",555,"6,006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2012,"35,423","13,622",487,"24,012","4,379",396,"32,313","4,460",778,"36,238","2,949",910,"60,552","1,308","2,578","89,780",525,"4,702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2011,"34,135","13,134",431,"24,189","4,277",409,"29,872","4,272",595,"36,660","2,928",712,"54,936","1,200","1,759","96,359",456,"6,859",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2010,"33,274","12,773",383,"23,709","4,263",595,"29,768","4,188",498,"35,925","2,756",746,"56,924","1,147","1,897","83,343",420,"3,578",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2009,"32,279","12,643",443,"21,588","4,486",309,"28,908","4,109",577,"36,071","2,485","1,060","58,570","1,122","2,600","84,368",439,"4,972",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2008,"34,240","12,857",509,"24,340","4,720",670,"30,618","3,990",476,"37,864","2,615","1,044","56,980","1,109","2,868","96,976",422,"6,556",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2007,"33,040","12,885",421,"23,923","4,726",519,"30,932","4,111",698,"35,861","2,510",724,"50,805","1,057","1,436","87,195",478,"5,348",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2006,"32,532","12,711",488,"23,060","4,920",470,"32,148","3,884","1,080","36,217","2,500",981,"51,336","1,066","1,565","87,835",340,"5,886",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2005,"31,008","12,015",401,"21,623","4,744",294,"29,471","3,667",638,"34,754","2,326",770,"54,700",896,"2,021","84,033",380,"6,680",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2004,"30,828","11,562",413,"21,606","4,633",343,"29,694","3,440",786,"34,447","2,241",783,"53,567",916,"2,209","84,152",332,"6,076",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2003,"28,806","11,195",419,"20,637","4,556",310,"26,652","3,234",502,"34,157","2,193","1,296","49,298",867,"2,485","71,446",344,"4,795",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2002,"29,084","10,979",516,"21,611","4,506",689,"27,992","3,205",782,"32,935","2,112","1,210","46,115",815,"2,412","73,836",338,"5,926",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2001,"27,964","10,258",456,"20,614","4,289",598,"26,745","2,985",727,"32,595","1,962",882,"45,445",748,"1,713","75,746",272,"7,676",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2000,"27,253","9,996",516,"19,501","4,236",460,"25,629","2,940",532,"30,155","1,873",797,"55,050",722,"4,651","81,447",223,"9,696",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1999,"24,381","9,576",392,"17,713","3,944",285,"23,196","2,875",421,"28,621","1,873",909,"41,740",623,"2,761","66,191",262,"7,607",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1998,"25,534","8,288",775,"17,756","3,428",883,"24,739","2,413","1,248","26,483","1,652","1,677","40,889",569,"2,451","83,754",226,"13,919",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1997,"23,520","8,261",595,"17,447","3,444",712,"22,253","2,391",918,"25,923","1,598",852,"37,963",557,"2,021","68,097",272,"10,265",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1996,"21,870","7,975",657,"14,986","3,382",347,"21,593","2,116",628,"26,682","1,687","2,101","38,130",531,"5,090","49,307",259,"6,300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1995,"20,312","7,337",544,"14,774","3,140",347,"20,882","2,039","1,467","22,171","1,475",978,"35,109",466,"2,695","50,802",215,"4,151",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1994,"21,288","7,117",754,"16,355","3,111","1,409","19,667","1,937",557,"24,517","1,410",855,"33,797",450,"2,185","60,858",210,"10,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1993,"19,460","6,957",526,"13,572","2,928",357,"18,765","1,954",566,"22,417","1,444",859,"37,554",438,"5,974","52,441",194,"6,150",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1992,"18,318","6,811",381,"13,041","2,981",384,"18,884","1,888",685,"21,266","1,353",812,"32,859",415,"2,101","45,065",173,"5,028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1991,"18,516","5,932",385,"13,134","2,548",349,"18,582","1,705",573,"21,886","1,132",848,"31,699",356,"2,105","45,107",192,"5,317",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1990,"18,320","5,745",332,"13,182","2,562",276,"18,100","1,812",455,"22,376",852,831,"31,485",314,"1,966","47,479",205,"4,339",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1989,"18,087","5,641",352,"13,167","2,632",265,"17,579","1,711",452,"22,374",810,996,"32,767",292,"2,536","49,088",196,"4,778",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1988,"17,357","5,477",361,"12,836","2,517",316,"17,446","1,621",475,"21,631",811,"1,205","26,935",333,"1,807","40,916",194,"4,602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1987,"17,048","5,248",372,"12,823","2,281",369,"16,774","1,616",523,"19,414",758,773,"26,581",383,"1,782","39,014",211,"4,410",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1986,"15,624","5,037",305,"11,262","2,262",313,"15,948","1,546",476,"19,675",778,962,"27,427",274,"1,975","32,538",176,"2,705",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1985,"15,293","4,702",285,"11,671","2,111",342,"15,602","1,491",464,"18,168",678,771,"24,723",267,"1,723","32,831",155,"2,792",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1984,"14,957","4,344",344,"11,441","2,022",385,"15,763","1,319",549,"17,261",611,"1,014","23,835",223,"1,878","30,727",168,"3,231",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1983,"14,265","3,577",324,"11,353","1,678",400,"14,584","1,074",549,"16,626",514,864,"21,911",170,"2,111","28,680",141,"2,681",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1982,"13,484","3,480",339,"10,108","1,622",392,"13,883","1,083",488,"15,560",495,845,"22,565",153,"2,632","34,474",125,"3,995",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1981,"13,052","3,504",292,"10,447","1,686",342,"13,513","1,037",489,"15,432",489,785,"19,201",177,"1,928","27,619",114,"3,427",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1980,"12,310","3,401",303,"9,825","1,707",394,"13,108",961,526,"14,331",451,890,"19,224",167,"1,986","24,642",114,"3,439",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
